,P1
4BT+5TT+Methyl+Phenyl,0.0009578894815016929
4BT+5TT+Br+Methyl,0.008416104481806332
4BT+4TT+Stannyl+Phenyl,0.0
4BT+4TT+Stannyl+Br,0.0
4BT+6TT+2H,0.006651812925371561
4BT+6TT+H+Methyl,0.0012442471169449836
4BT+5TT+2Phenyl,0.0
4BT+5TT+Br+Phenyl,0.0031919292556798467
4BT+5TT+2Br,0.005865835178661201
4BT+5TT+Stannyl+H,0.0023907393115926304
4BT+6TT+2Methyl,0.0
4BT+5TT+Stannyl+Methyl,0.0
4BT+4TT+2Stannyl,-0.0
4BT+6TT+H+Phenyl,-0.0
4BT+6TT+Br+H,0.008355448855859503
4BT+6TT+Methyl+Phenyl,0.0
4BT+6TT+Br+Methyl,0.0012883203269448596
4BT+5TT+Stannyl+Phenyl,0.0
4BT+5TT+Stannyl+Br,-0.0
5BT+3TT+2H,0.00566204787128711
4BT+6TT+2Phenyl,0.0
4BT+6TT+Br+Phenyl,-0.0
4BT+6TT+2Br,0.0
4BT+6TT+Stannyl+H,0.0
5BT+3TT+H+Methyl,0.003658333686083345
4BT+6TT+Stannyl+Methyl,0.0
5BT+3TT+2Methyl,0.0
4BT+5TT+2Stannyl,0.0
5BT+3TT+H+Phenyl,0.0
5BT+3TT+Br+H,0.009204061297753035
4BT+6TT+Stannyl+Phenyl,0.0
5BT+3TT+Methyl+Phenyl,-0.0
4BT+6TT+Stannyl+Br,0.0
5BT+3TT+Br+Methyl,0.0024340858101316214
5BT+4TT+2H,0.05497879995175307
5BT+4TT+H+Methyl,0.03824059931848418
5BT+3TT+2Phenyl,0.0
5BT+3TT+Br+Phenyl,0.004080374434008014
5BT+3TT+2Br,0.001322662348995045
5BT+3TT+Stannyl+H,0.0
5BT+4TT+2Methyl,0.007054474706153275
5BT+3TT+Stannyl+Methyl,0.0
4BT+6TT+2Stannyl,0.0018390927383616048
5BT+4TT+H+Phenyl,0.00022501628690169904
5BT+4TT+Br+H,0.09720353173564482
5BT+4TT+Methyl+Phenyl,0.0
5BT+4TT+Br+Methyl,0.03702218789252793
5BT+3TT+Stannyl+Phenyl,0.0
5BT+3TT+Stannyl+Br,0.0
5BT+5TT+2H,0.04012085271769445
5BT+5TT+H+Methyl,0.025135338062618823
5BT+4TT+2Phenyl,0.0
5BT+4TT+Br+Phenyl,0.00474469367265857
5BT+4TT+2Br,0.03804797615839567
5BT+4TT+Stannyl+H,0.0
5BT+5TT+2Methyl,0.0050028905802586435
5BT+4TT+Stannyl+Methyl,-0.0
5BT+3TT+2Stannyl,-0.0
5BT+5TT+H+Phenyl,0.00505329606763446
5BT+5TT+Br+H,0.038052890403247636
5BT+5TT+Methyl+Phenyl,0.0
5BT+5TT+Br+Methyl,0.015092856063211918
5BT+4TT+Stannyl+Phenyl,0.0
5BT+4TT+Stannyl+Br,0.0
5BT+6TT+2H,0.01324271649930085
5BT+6TT+H+Methyl,0.0038515631914120383
5BT+5TT+2Phenyl,0.0
5BT+5TT+Br+Phenyl,0.009262361269379708
5BT+5TT+2Br,0.0
5BT+5TT+Stannyl+H,0.0
5BT+6TT+2Methyl,0.0
5BT+5TT+Stannyl+Methyl,0.0
5BT+4TT+2Stannyl,0.0
5BT+6TT+H+Phenyl,0.0
5BT+6TT+Br+H,0.010564926515145075
5BT+6TT+Methyl+Phenyl,-0.0
5BT+6TT+Br+Methyl,0.0026849616491377627
5BT+5TT+Stannyl+Phenyl,0.0
5BT+5TT+Stannyl+Br,0.0
5BT+7TT+2H,0.006013615762167424
5BT+7TT+H+Methyl,0.0
5BT+6TT+2Phenyl,0.0
5BT+6TT+Br+Phenyl,0.0010419514617714006
5BT+6TT+2Br,0.002812778869426454
5BT+6TT+Stannyl+H,0.0
5BT+7TT+2Methyl,0.0
5BT+6TT+Stannyl+Methyl,0.0
5BT+5TT+2Stannyl,0.0
5BT+7TT+H+Phenyl,0.0
5BT+7TT+Br+H,0.004818377332130053
5BT+7TT+Methyl+Phenyl,0.0
5BT+7TT+Br+Methyl,0.0
5BT+6TT+Stannyl+Phenyl,0.0
5BT+6TT+Stannyl+Br,0.0
6BT+4TT+2H,0.0032414118207045243
5BT+7TT+2Phenyl,0.0
5BT+7TT+Br+Phenyl,-0.0
5BT+7TT+2Br,0.0
5BT+7TT+Stannyl+H,0.0
6BT+4TT+H+Methyl,0.0009851122973877418
5BT+7TT+Stannyl+Methyl,0.0
6BT+4TT+2Methyl,0.0
5BT+6TT+2Stannyl,0.0
6BT+4TT+H+Phenyl,0.0
6BT+4TT+Br+H,0.003983063625981156
5BT+7TT+Stannyl+Phenyl,0.0
6BT+4TT+Methyl+Phenyl,0.0
5BT+7TT+Stannyl+Br,0.0
6BT+4TT+Br+Methyl,0.0
6BT+5TT+2H,0.04772195621016442
6BT+5TT+H+Methyl,0.03247958131108347
6BT+4TT+2Phenyl,0.0
6BT+4TT+Br+Phenyl,0.001599661509680762
6BT+4TT+2Br,-0.0
6BT+4TT+Stannyl+H,0.0
6BT+5TT+2Methyl,0.005685084475753117
6BT+4TT+Stannyl+Methyl,0.0
5BT+7TT+2Stannyl,0.0015660572120967872
6BT+5TT+H+Phenyl,0.002044831643597808
6BT+5TT+Br+H,0.08709858625987305
6BT+5TT+Methyl+Phenyl,4.6768906067681275e-05
6BT+5TT+Br+Methyl,0.02949299464340499
6BT+4TT+Stannyl+Phenyl,0.0
6BT+4TT+Stannyl+Br,0.0
6BT+6TT+2H,0.03544979468857436
6BT+6TT+H+Methyl,0.01935068719870392
6BT+5TT+2Phenyl,0.0
6BT+5TT+Br+Phenyl,0.011585375006715118
6BT+5TT+2Br,0.028016399458671216
6BT+5TT+Stannyl+H,3.370347679176987e-05
6BT+6TT+2Methyl,0.003298095421073721
6BT+5TT+Stannyl+Methyl,0.0
6BT+4TT+2Stannyl,0.0
6BT+6TT+H+Phenyl,0.005171136340913694
6BT+6TT+Br+H,0.031158990974435002
6BT+6TT+Methyl+Phenyl,0.0016557678507384713
6BT+6TT+Br+Methyl,0.011935699860303097
6BT+5TT+Stannyl+Phenyl,0.0
6BT+5TT+Stannyl+Br,0.0
6BT+7TT+2H,0.007617886764012519
6BT+7TT+H+Methyl,0.0027349248368357774
6BT+6TT+2Phenyl,0.0
6BT+6TT+Br+Phenyl,0.007098260924630218
6BT+6TT+2Br,0.0
6BT+6TT+Stannyl+H,0.0
6BT+7TT+2Methyl,0.0
6BT+6TT+Stannyl+Methyl,0.0
6BT+5TT+2Stannyl,0.0
6BT+7TT+H+Phenyl,0.0
6BT+7TT+Br+H,0.00672663566872076
6BT+7TT+Methyl+Phenyl,0.0
6BT+7TT+Br+Methyl,0.0
6BT+6TT+Stannyl+Phenyl,0.0
6BT+6TT+Stannyl+Br,0.0
6BT+8TT+2H,0.004066736995915868
6BT+8TT+H+Methyl,0.0
6BT+7TT+2Phenyl,0.0
6BT+7TT+Br+Phenyl,0.0004293763672671904
6BT+7TT+2Br,0.001315606709190758
6BT+7TT+Stannyl+H,0.0
6BT+8TT+2Methyl,0.0
6BT+7TT+Stannyl+Methyl,0.0
6BT+6TT+2Stannyl,0.0
