,P1,P2,P3,P3 7p
2Br,17.37113709310855,0.2606707270448276,0.0,0.0
2H,24.864527072131757,19.238099382164144,14.409428108164041,14.028998001017506
2Methyl,2.289841345487331,14.04619748601984,29.958071248795797,31.40061865259915
2Phenyl,0.0,0.0,0.0,0.0
2Stannyl,0.0,5.31991197286834,2.1199820466015504,2.718590355419743
Br+H,30.38346655319205,7.056215233121817,0.0,0.0
Br+Methyl,10.57359745511346,6.757598209923323,0.0,0.0
Br+Phenyl,0.736946308057601,1.334351569715197,1.8806018114306802,1.631016965790482
H+Methyl,8.309587642449857,31.788128896975472,38.70482427131339,38.366574192481025
H+Phenyl,4.212521919757668,7.29328908151379,4.723004324165711,4.064397873344215
Methyl+Phenyl,0.7965441198350017,6.905537440653246,7.866596236005756,7.469875036244197
Stannyl+Br,0.0,0.0,0.0,0.0
Stannyl+H,0.0,0.0,0.0,0.0
Stannyl+Methyl,0.0,0.0,0.33749195352307787,0.31992892310369664
Stannyl+Phenyl,0.46183049086672034,0.0,0.0,0.0
